id,sku,item_url,Ключевое слово # (#16),,
282,B20096,https://flower-club.ru/bukety/8-marta/buket-282,,,
283,B20097,https://flower-club.ru/bukety/8-marta/buket-283,,,
284,B20098,https://flower-club.ru/bukety/8-marta/buket-284,,,
285,B20099,https://flower-club.ru/bukety/8-marta/buket-285,,,
286,B20100,https://flower-club.ru/bukety/8-marta/buket-286,,,
287,B20101,https://flower-club.ru/bukety/den-vlyublennykh/buket-287,,,
288,B20102,https://flower-club.ru/bukety/den-vlyublennykh/buket-288,,,
289,B20103,https://flower-club.ru/bukety/den-vlyublennykh/buket-289,,,
290,B20104,https://flower-club.ru/bukety/den-vlyublennykh/buket-290,,,
291,B20105,https://flower-club.ru/bukety/8-marta/buket-291,,,
292,B20106,https://flower-club.ru/bukety/8-marta/buket-292,,,
293,B20107,https://flower-club.ru/bukety/buket-293,,,
294,B20108,https://flower-club.ru/bukety/8-marta/buket-294,,,
295,B20109,https://flower-club.ru/bukety/buket-295,,,
296,B20110,https://flower-club.ru/bukety/8-marta/buket-296,,,
297,B20111,https://flower-club.ru/bukety/8-marta/buket-297,,,
298,B20112,https://flower-club.ru/bukety/buket-298,,,
299,B20113,https://flower-club.ru/bukety/den-vlyublennykh/buket-299,,,
300,B20114,https://flower-club.ru/bukety/8-marta/buket-300,,,
301,B20115,https://flower-club.ru/bukety/8-marta/buket-301,,,
302,B20116,https://flower-club.ru/bukety/8-marta/buket-302,,,
303,B20117,https://flower-club.ru/bukety/8-marta/buket-303,,,
304,B20118,https://flower-club.ru/bukety/8-marta/buket-304,,,
305,B20119,https://flower-club.ru/bukety/8-marta/buket-305,,,
306,B20120,https://flower-club.ru/bukety/8-marta/buket-306,,,
307,B20121,https://flower-club.ru/bukety/8-marta/buket-307,,,
308,B20122,https://flower-club.ru/bukety/8-marta/buket-308,,,
309,B20123,https://flower-club.ru/bukety/8-marta/buket-309,,,
310,B20124,https://flower-club.ru/bukety/8-marta/buket-310,,,
311,B20125,https://flower-club.ru/bukety/8-marta/buket-311,,,
312,B20126,https://flower-club.ru/bukety/buket-312,,,
600,B20127,https://flower-club.ru/bukety/8-marta/buket-313,,,
601,B20128,https://flower-club.ru/bukety/blagodarnost/buket-314,,,
603,К001,https://flower-club.ru/bukety/blagodarnost/buket-315,,,
604,К002,https://flower-club.ru/bukety/8-marta/buket-316,,,
605,К003,https://flower-club.ru/bukety/8-marta/buket-317,,,
606,К004,https://flower-club.ru/bukety/8-marta/buket-318,,,
607,К005,https://flower-club.ru/bukety/8-marta/buket-319,,,
608,Б0012Л,https://flower-club.ru/bukety/8-marta/buket-320,,,
609,Б0012Ю,https://flower-club.ru/bukety/8-marta/buket-321,,,
610,К005А,https://flower-club.ru/bukety/blagodarnost/buket-322,,,
611,К10008А,https://flower-club.ru/bukety/8-marta/buket-323,,,
612,КR10008,https://flower-club.ru/bukety/1-sentyabrya/buket-324,,,
613,КR00067,https://flower-club.ru/bukety/8-marta/buket-325,,,
614,К100098,https://flower-club.ru/bukety/8-marta/buket-326,,,
615,К00987,https://flower-club.ru/bukety/8-marta/buket-327,,,
616,КR10074,https://flower-club.ru/bukety/8-marta/buket-328,,,
617,К0054,https://flower-club.ru/bukety/8-marta/buket-329,,,
618,B00065,https://flower-club.ru/bukety/biznes/buket-330,,,
619,В07054,https://flower-club.ru/bukety/8-marta/buket-331,,,
620,В075804,https://flower-club.ru/bukety/buket-nevesty/buket-332,,,
621,621,https://flower-club.ru/bukety/blagodarnost/buket-333,,,
622,B00947,https://flower-club.ru/bukety/blagodarnost/buket-334,,,
623,В08607,https://flower-club.ru/bukety/dlya-muzhchiny/buket-335,,,
624,В90362,https://flower-club.ru/bukety/blagodarnost/buket-336,,,
625,К06804,https://flower-club.ru/bukety/buket-337,,,
626,К00895,https://flower-club.ru/bukety/buket-338,,,
627,Б010546,https://flower-club.ru/bukety/buket-339,,,
628,К090934,https://flower-club.ru/bukety/buket-340,,,
629,629,https://flower-club.ru/bukety/buket-341,,,
630,630,https://flower-club.ru/bukety/buket-342,,,
631,К00012,https://flower-club.ru/bukety/buket-343,,,
632,К01042,https://flower-club.ru/bukety/buket-34344,,,
